               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12276,            0.046843,            0.056043,          0.00023775,           0.0090008,          0.00012423,          2.2911e-05,             0.11646,             0.04309,             0.05864,              0.0955,              0.0005,              0.0005
                   1,             0.11336,            0.051063,            0.052867,           0.0014009,            0.072142,           0.0010525,          0.00021419,             0.10196,            0.047722,            0.051163,            0.090095,           0.0010946,           0.0010946
                   2,             0.10419,            0.059581,            0.045779,             0.17896,            0.054124,           0.0098465,           0.0020775,            0.090536,            0.050247,            0.040549,            0.084683,           0.0016832,           0.0016832
                   3,            0.091239,            0.057971,            0.037087,              0.3399,             0.10395,           0.0070528,           0.0018294,            0.087745,            0.053256,            0.031741,            0.079266,           0.0022658,           0.0022658
                   4,            0.084181,            0.054253,            0.030662,             0.86521,             0.07732,             0.03811,            0.010611,            0.083544,            0.063357,            0.029431,            0.073843,           0.0028426,           0.0028426
                   5,             0.08163,            0.053675,            0.027472,             0.86193,            0.093643,            0.031442,            0.007704,            0.087768,            0.069567,            0.024474,            0.068413,           0.0034134,           0.0034134
                   6,            0.077233,            0.054163,            0.023957,             0.73007,             0.25256,              0.1146,            0.041067,            0.084429,            0.053879,            0.021683,            0.062978,           0.0039782,           0.0039782
                   7,            0.077784,            0.050661,            0.021942,             0.80343,             0.25083,             0.16455,            0.061977,             0.07808,            0.045514,            0.020618,            0.057537,           0.0045371,           0.0045371
                   8,            0.074488,            0.050265,            0.021383,             0.78134,             0.25483,             0.16295,            0.051658,            0.072035,            0.041969,            0.019781,             0.05209,           0.0050901,           0.0050901
                   9,             0.07215,             0.05066,             0.01998,              0.7492,             0.15409,             0.12669,            0.053371,            0.077623,            0.039558,            0.018954,            0.046637,           0.0056372,           0.0056372
                  10,            0.076208,            0.048067,            0.020267,             0.29641,             0.34873,             0.14896,            0.051746,            0.073666,            0.036079,            0.018609,            0.041178,           0.0061782,           0.0061782
                  11,            0.073226,            0.044037,            0.019474,             0.37098,             0.41232,             0.25903,            0.099625,            0.072944,            0.034813,            0.017615,            0.035713,           0.0067134,           0.0067134
                  12,            0.077798,            0.045176,            0.017765,             0.35918,             0.44965,             0.26188,            0.095062,            0.066824,            0.034739,            0.017189,            0.030243,           0.0072426,           0.0072426
                  13,            0.072205,             0.04282,            0.017342,             0.32334,             0.45051,             0.18117,             0.06344,            0.077737,             0.03498,            0.015773,            0.024766,           0.0077659,           0.0077659
                  14,            0.078542,            0.040211,            0.016491,              0.3186,             0.42784,             0.19825,            0.056067,            0.070683,            0.032166,            0.015097,            0.019283,           0.0082832,           0.0082832
                  15,            0.069141,             0.03972,            0.015307,              0.5166,             0.48645,             0.19502,            0.057786,              0.0796,             0.03465,            0.013041,            0.013795,           0.0087946,           0.0087946
                  16,            0.071842,            0.039715,             0.01396,             0.34513,              0.5062,             0.22234,            0.084638,            0.081283,               0.034,             0.01222,            0.009208,            0.009208,            0.009208
                  17,              0.0737,            0.039311,            0.013843,             0.69242,             0.45116,             0.42315,             0.14056,            0.063118,            0.032477,            0.012132,            0.009208,            0.009208,            0.009208
                  18,            0.066074,            0.039985,            0.013372,             0.64348,             0.47852,             0.39842,             0.16919,            0.068908,            0.034748,            0.010814,           0.0091585,           0.0091585,           0.0091585
                  19,            0.064376,            0.042578,            0.011831,             0.55864,             0.37683,             0.27795,             0.10071,            0.068462,            0.033981,            0.010091,            0.009109,            0.009109,            0.009109
                  20,            0.061174,            0.039474,            0.011954,             0.59112,             0.50958,             0.29369,            0.099416,             0.06183,            0.032384,           0.0094994,           0.0090595,           0.0090595,           0.0090595
                  21,            0.060487,             0.03847,            0.011455,             0.58211,             0.44709,             0.33176,             0.13092,            0.059828,            0.033465,           0.0089523,             0.00901,             0.00901,             0.00901
                  22,            0.059718,            0.039551,            0.011095,             0.63014,             0.52495,             0.38279,              0.1583,            0.048259,            0.031336,           0.0087418,           0.0089605,           0.0089605,           0.0089605
                  23,            0.055518,            0.038296,           0.0095286,             0.60508,             0.53318,             0.37073,             0.16978,            0.053478,            0.030677,            0.007848,            0.008911,            0.008911,            0.008911
                  24,            0.054367,            0.038635,           0.0095733,             0.70104,             0.52759,             0.43733,             0.19678,            0.051796,            0.029889,           0.0073936,           0.0088615,           0.0088615,           0.0088615
                  25,            0.053609,            0.039085,           0.0092759,             0.69211,             0.50242,             0.43644,             0.19343,            0.049754,            0.030151,           0.0073017,            0.008812,            0.008812,            0.008812
                  26,            0.052052,            0.037739,            0.009089,             0.78398,             0.58336,             0.55381,             0.25669,            0.045654,            0.030055,           0.0068054,           0.0087625,           0.0087625,           0.0087625
                  27,            0.050558,            0.036672,           0.0084787,             0.71726,             0.55785,             0.51368,             0.26559,            0.044885,            0.028853,           0.0065735,            0.008713,            0.008713,            0.008713
                  28,            0.051611,             0.03756,           0.0084477,             0.75424,             0.57551,             0.55773,             0.24982,            0.045389,            0.028275,           0.0062805,           0.0086635,           0.0086635,           0.0086635
