               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11938,             0.09728,            0.057942,          0.00032299,            0.013456,          0.00017073,          5.3084e-05,             0.10723,            0.062836,            0.055037,              0.0937,              0.0007,              0.0007
                   1,             0.10131,            0.074344,            0.051531,           0.0027364,             0.26224,            0.019317,           0.0059301,            0.086849,            0.053985,            0.043929,            0.086493,           0.0014926,           0.0014926
                   2,            0.083911,             0.06911,            0.040341,             0.90129,            0.098997,            0.084253,            0.024093,            0.075431,            0.048425,             0.03235,            0.079277,           0.0022772,           0.0022772
                   3,            0.075743,            0.060359,            0.029633,             0.89541,             0.09794,            0.096537,            0.026914,            0.072243,            0.056899,            0.027712,            0.072054,            0.003054,            0.003054
                   4,            0.070168,            0.059273,            0.024958,             0.57524,             0.29229,             0.13061,            0.035586,            0.068693,            0.047691,            0.021847,            0.064823,           0.0038228,           0.0038228
                   5,            0.067231,            0.056596,            0.019878,             0.63162,             0.32776,             0.23821,            0.068618,            0.067108,            0.044026,            0.017852,            0.057584,           0.0045837,           0.0045837
                   6,            0.068651,            0.052191,            0.017861,             0.30969,             0.45931,             0.17743,            0.049749,            0.065966,            0.039274,            0.016455,            0.050337,           0.0053367,           0.0053367
                   7,            0.066525,            0.053632,            0.015429,             0.47688,             0.26501,             0.18931,            0.082425,            0.072792,            0.038477,            0.013218,            0.043082,           0.0060817,           0.0060817
                   8,            0.067132,            0.043674,             0.01387,             0.54013,             0.32322,             0.25213,             0.10768,            0.061885,             0.03447,            0.011494,            0.035819,           0.0068188,           0.0068188
                   9,            0.065616,              0.0456,            0.012484,             0.48133,              0.3053,             0.20123,            0.054345,            0.071088,            0.032404,           0.0097801,            0.028548,           0.0075481,           0.0075481
                  10,            0.067159,            0.043244,            0.011246,             0.75982,             0.29611,             0.28765,             0.10319,            0.069839,            0.032693,           0.0080443,            0.021269,           0.0082693,           0.0082693
                  11,            0.066908,            0.041075,               0.011,             0.51986,             0.56383,             0.34489,             0.12613,            0.065751,            0.037529,           0.0068702,            0.013983,           0.0089827,           0.0089827
                  12,            0.063735,            0.039229,           0.0090786,             0.38783,             0.63096,              0.4352,             0.16368,            0.065551,            0.034101,           0.0064702,            0.009406,            0.009406,            0.009406
                  13,            0.060873,            0.041071,           0.0082477,             0.36759,              0.6806,             0.53174,             0.20993,            0.070035,            0.033695,           0.0053357,            0.009406,            0.009406,            0.009406
