               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11958,            0.094244,            0.058419,          0.00034392,            0.015603,          0.00018525,          4.8658e-05,             0.10803,            0.066276,            0.054664,              0.0937,              0.0007,              0.0007
                   1,             0.10182,            0.067728,            0.052339,           0.0026012,             0.18633,           0.0052188,           0.0014803,            0.089262,            0.055271,             0.04452,            0.086495,            0.001495,            0.001495
                   2,            0.082772,            0.063433,            0.041496,             0.88877,             0.10652,            0.072782,            0.021341,            0.078798,            0.048966,            0.031675,            0.079285,           0.0022848,           0.0022848
                   3,            0.073202,            0.055891,             0.03005,             0.58299,             0.27671,             0.13345,            0.039129,            0.080362,            0.051421,            0.025424,            0.072069,           0.0030693,           0.0030693
                   4,            0.069068,            0.050125,            0.023754,              0.9052,            0.097327,             0.16363,            0.044663,            0.072958,            0.045607,            0.020867,            0.064849,           0.0038485,           0.0038485
                   5,            0.069031,            0.046187,            0.020262,             0.62284,             0.32674,             0.22122,            0.081073,            0.066215,            0.049607,            0.016205,            0.057622,           0.0046225,           0.0046225
                   6,            0.063119,            0.044804,             0.01722,             0.82265,              0.2662,             0.26002,             0.10396,            0.074173,            0.043601,            0.013549,            0.050391,           0.0053911,           0.0053911
                   7,             0.06587,            0.041258,            0.014888,             0.87067,             0.27446,             0.31197,             0.12166,            0.072983,            0.036748,            0.011149,            0.043154,           0.0061545,           0.0061545
                   8,            0.065044,            0.039898,            0.012841,             0.50831,             0.26785,             0.20491,            0.061939,            0.066824,            0.037559,             0.00909,            0.035913,           0.0069126,           0.0069126
                   9,            0.064704,            0.038471,            0.011646,             0.48078,             0.32844,             0.18805,            0.072476,            0.077028,            0.032719,           0.0079614,            0.028665,           0.0076654,           0.0076654
                  10,             0.06916,            0.034993,             0.01017,             0.67999,             0.28159,             0.27333,             0.13025,            0.069265,            0.032808,           0.0070928,            0.021413,           0.0084129,           0.0084129
                  11,            0.066283,            0.034326,           0.0094646,             0.69522,             0.34648,             0.29555,             0.10329,            0.067419,            0.034155,           0.0063578,            0.014155,           0.0091552,           0.0091552
                  12,            0.064567,            0.034942,           0.0094556,             0.44687,             0.57714,             0.43566,             0.13246,            0.061853,            0.040684,            0.005494,            0.009604,            0.009604,            0.009604
                  13,            0.059705,            0.034002,           0.0074927,             0.40848,             0.59851,             0.39261,             0.14709,            0.061716,            0.036102,           0.0047881,            0.009604,            0.009604,            0.009604
                  14,            0.063513,            0.031347,           0.0073582,             0.59441,             0.43645,             0.36003,             0.12124,            0.071809,            0.035429,           0.0053387,            0.009571,            0.009571,            0.009571
                  15,             0.05862,            0.031737,           0.0078364,             0.55397,              0.3533,             0.32571,             0.13372,            0.063792,            0.035995,           0.0053874,            0.009538,            0.009538,            0.009538
                  16,            0.056167,            0.030883,           0.0070418,              0.3544,             0.54151,              0.4852,             0.23225,            0.051073,            0.033685,           0.0051179,            0.009505,            0.009505,            0.009505
                  17,            0.053016,            0.031154,           0.0065028,             0.41837,             0.60195,             0.39098,             0.12387,            0.059888,            0.035022,           0.0044849,            0.009472,            0.009472,            0.009472
                  18,            0.054771,            0.028883,           0.0060584,             0.45273,             0.56691,              0.4483,              0.1811,            0.058917,            0.034933,           0.0042429,            0.009439,            0.009439,            0.009439
                  19,             0.05276,            0.029558,           0.0060257,             0.46954,             0.65503,             0.61298,             0.26172,            0.050741,            0.041871,           0.0031015,            0.009406,            0.009406,            0.009406
                  20,            0.050661,            0.030549,            0.005299,             0.52843,             0.75491,             0.69689,             0.35515,            0.048073,            0.031999,           0.0030293,            0.009373,            0.009373,            0.009373
                  21,            0.046144,            0.028891,           0.0053106,             0.29265,             0.65588,             0.56762,             0.27526,            0.053842,            0.033048,           0.0031174,             0.00934,             0.00934,             0.00934
                  22,            0.047827,            0.028417,           0.0053413,             0.55964,             0.59062,             0.48887,             0.20645,            0.053476,             0.02898,           0.0034595,            0.009307,            0.009307,            0.009307
                  23,            0.048965,            0.027817,           0.0049153,             0.61666,             0.84805,             0.75276,             0.40009,            0.041956,            0.030172,           0.0032341,            0.009274,            0.009274,            0.009274
                  24,            0.045672,            0.028233,           0.0045656,             0.56676,             0.76333,             0.71462,             0.30495,            0.044505,            0.030998,           0.0037325,            0.009241,            0.009241,            0.009241
                  25,            0.043004,            0.028985,           0.0041845,             0.57713,             0.78343,             0.74574,             0.37312,            0.040534,            0.031051,           0.0038502,            0.009208,            0.009208,            0.009208
                  26,            0.040389,            0.027642,           0.0043654,             0.50006,              0.7303,             0.64954,             0.32316,            0.043432,            0.028231,           0.0034987,            0.009175,            0.009175,            0.009175
                  27,            0.042955,            0.027941,           0.0039217,             0.70245,             0.76984,             0.83121,             0.35306,            0.043073,            0.026264,           0.0032061,            0.009142,            0.009142,            0.009142
                  28,             0.04092,            0.027132,           0.0037154,              0.5697,              0.7249,             0.76673,             0.39114,            0.044889,             0.02616,           0.0030302,            0.009109,            0.009109,            0.009109
                  29,            0.039327,            0.027103,           0.0038776,             0.56419,             0.78197,             0.73043,             0.35204,             0.04112,            0.026549,           0.0026397,            0.009076,            0.009076,            0.009076
                  30,            0.040312,             0.02639,           0.0038241,             0.64139,             0.86652,             0.80008,             0.38767,            0.039947,            0.026669,           0.0026613,            0.009043,            0.009043,            0.009043
                  31,            0.040885,            0.025736,           0.0035802,             0.64887,             0.75153,             0.80342,             0.40865,            0.039085,             0.02699,           0.0026917,             0.00901,             0.00901,             0.00901
                  32,            0.039248,            0.025936,           0.0035904,             0.61856,             0.89732,             0.80997,             0.40548,            0.042407,            0.025113,            0.002602,            0.008977,            0.008977,            0.008977
                  33,            0.040078,            0.025838,           0.0034922,             0.67612,             0.88376,             0.82793,             0.37333,             0.03589,            0.025301,           0.0029185,            0.008944,            0.008944,            0.008944
                  34,            0.037367,            0.026579,           0.0038564,             0.79055,             0.84879,             0.90103,              0.5223,            0.035479,            0.026446,            0.002598,            0.008911,            0.008911,            0.008911
                  35,             0.03795,             0.02512,           0.0032885,             0.73385,             0.88285,             0.89069,             0.46801,            0.034801,            0.025105,           0.0023527,            0.008878,            0.008878,            0.008878
                  36,            0.035865,             0.02543,           0.0029535,             0.78935,             0.84851,              0.8833,             0.44402,            0.035984,            0.025304,           0.0023126,            0.008845,            0.008845,            0.008845
                  37,            0.036387,            0.025534,           0.0026357,             0.53422,             0.77683,             0.64853,             0.31176,            0.042912,            0.026285,           0.0028008,            0.008812,            0.008812,            0.008812
                  38,            0.038386,            0.024873,           0.0033239,             0.74861,             0.84729,             0.89843,             0.41638,            0.036274,            0.024063,           0.0026843,            0.008779,            0.008779,            0.008779
                  39,            0.036762,            0.024528,           0.0033648,             0.67326,              0.9157,             0.86109,             0.42408,             0.03566,            0.023434,           0.0027537,            0.008746,            0.008746,            0.008746
                  40,            0.035557,            0.023821,           0.0032422,             0.77449,             0.82099,             0.91316,             0.49768,            0.033018,            0.022946,           0.0026316,            0.008713,            0.008713,            0.008713
                  41,            0.035873,            0.024265,           0.0033824,             0.72766,             0.91395,             0.90238,              0.4924,            0.032894,            0.023358,           0.0026808,             0.00868,             0.00868,             0.00868
                  42,            0.035604,            0.024153,           0.0034614,             0.87125,             0.91665,              0.9419,             0.54364,            0.031208,            0.023245,           0.0024794,            0.008647,            0.008647,            0.008647
                  43,            0.033158,            0.023645,           0.0028324,             0.82229,             0.90806,              0.9298,             0.56254,            0.032887,            0.022895,           0.0022368,            0.008614,            0.008614,            0.008614
                  44,            0.034017,            0.023627,            0.002666,             0.75777,             0.93239,             0.90535,             0.51378,            0.033907,            0.024248,           0.0021712,            0.008581,            0.008581,            0.008581
                  45,            0.033902,             0.02326,           0.0026737,              0.8024,             0.90753,             0.92143,             0.51305,            0.035576,            0.025674,           0.0022936,            0.008548,            0.008548,            0.008548
                  46,            0.033777,            0.023003,           0.0027167,             0.75792,             0.92344,             0.89433,             0.49442,            0.030807,            0.023099,           0.0022284,            0.008515,            0.008515,            0.008515
                  47,            0.031419,            0.023027,           0.0025698,             0.85955,             0.87912,             0.94596,             0.54829,            0.029933,            0.022834,           0.0021596,            0.008482,            0.008482,            0.008482
                  48,             0.03525,            0.023077,           0.0026902,             0.74624,             0.89683,             0.89281,             0.48441,            0.032496,             0.02427,           0.0022883,            0.008449,            0.008449,            0.008449
                  49,            0.033997,             0.02321,           0.0030074,             0.82039,             0.91068,             0.93164,             0.54594,            0.030218,            0.023517,           0.0024676,            0.008416,            0.008416,            0.008416
                  50,            0.033301,            0.022634,           0.0029157,             0.74196,             0.92267,             0.90552,             0.51902,            0.031327,            0.023342,           0.0023727,            0.008383,            0.008383,            0.008383
                  51,            0.031203,            0.021829,           0.0026606,             0.77766,             0.91916,             0.91858,             0.57915,            0.030509,            0.022543,           0.0021852,             0.00835,             0.00835,             0.00835
                  52,            0.033039,             0.02257,           0.0025247,             0.85209,             0.92071,             0.94106,             0.52089,            0.032025,            0.022238,           0.0021979,            0.008317,            0.008317,            0.008317
                  53,            0.031876,             0.02208,           0.0028601,             0.76541,              0.9094,               0.898,             0.50853,            0.030572,            0.021621,           0.0021326,            0.008284,            0.008284,            0.008284
                  54,            0.030282,            0.022197,           0.0024152,             0.83041,             0.88619,             0.95771,             0.60762,             0.02756,            0.020991,            0.001927,            0.008251,            0.008251,            0.008251
                  55,            0.032184,            0.021817,           0.0023124,             0.77296,             0.93122,              0.9223,             0.44626,            0.032154,            0.023369,           0.0020217,            0.008218,            0.008218,            0.008218
                  56,            0.032779,            0.022996,           0.0025301,             0.80656,             0.90911,             0.91259,             0.56177,            0.027828,             0.02101,           0.0022573,            0.008185,            0.008185,            0.008185
                  57,            0.031554,            0.021838,           0.0026553,             0.83847,             0.93493,             0.93414,             0.57019,             0.02788,            0.022313,           0.0022499,            0.008152,            0.008152,            0.008152
                  58,            0.030124,            0.021501,           0.0025874,             0.83217,             0.95273,             0.95197,             0.61072,            0.027995,            0.020872,           0.0022412,            0.008119,            0.008119,            0.008119
                  59,            0.029173,             0.02146,           0.0024886,             0.92194,             0.92893,             0.97781,             0.61097,            0.027527,            0.020626,           0.0020501,            0.008086,            0.008086,            0.008086
                  60,            0.030787,            0.021715,            0.002483,             0.87692,             0.93762,             0.97022,             0.62217,            0.026474,            0.021093,           0.0020727,            0.008053,            0.008053,            0.008053
                  61,            0.029454,            0.021587,           0.0022417,             0.90196,             0.96304,             0.97221,             0.60498,            0.026113,            0.022305,           0.0019917,             0.00802,             0.00802,             0.00802
                  62,            0.029047,            0.021869,           0.0021051,             0.89189,             0.95815,             0.97625,             0.61237,            0.026931,            0.020087,           0.0018338,            0.007987,            0.007987,            0.007987
                  63,             0.02934,            0.021405,           0.0021607,             0.87515,             0.90157,             0.96088,             0.58842,            0.029349,            0.020263,           0.0018104,            0.007954,            0.007954,            0.007954
                  64,             0.03244,            0.020932,            0.002078,             0.86671,             0.85282,             0.90994,             0.48315,            0.032895,            0.021544,           0.0019618,            0.007921,            0.007921,            0.007921
                  65,            0.032999,            0.021515,           0.0023599,             0.87907,             0.92661,             0.97054,             0.58697,            0.027164,            0.020149,           0.0020338,            0.007888,            0.007888,            0.007888
                  66,            0.028456,            0.021372,           0.0022011,             0.87324,             0.94179,             0.97558,             0.61401,            0.027469,            0.021237,           0.0018191,            0.007855,            0.007855,            0.007855
                  67,            0.028735,            0.020977,            0.001884,             0.91284,             0.94573,             0.97888,             0.66231,            0.024867,            0.020076,            0.001846,            0.007822,            0.007822,            0.007822
                  68,            0.028193,            0.021061,           0.0021387,             0.89986,             0.95137,              0.9798,             0.60725,            0.025482,            0.019505,            0.001783,            0.007789,            0.007789,            0.007789
                  69,            0.029331,            0.020542,           0.0020476,               0.942,              0.9398,             0.98441,             0.60387,            0.026056,            0.019135,            0.001852,            0.007756,            0.007756,            0.007756
                  70,            0.028523,            0.020959,           0.0020785,             0.95013,             0.96519,             0.98103,             0.61652,            0.025517,            0.018626,           0.0019233,            0.007723,            0.007723,            0.007723
                  71,            0.028012,            0.020132,           0.0022659,             0.89156,              0.8934,             0.97112,             0.60875,             0.02963,            0.019361,           0.0018307,             0.00769,             0.00769,             0.00769
                  72,            0.030409,             0.02081,           0.0024193,             0.92138,             0.96561,             0.97578,             0.60623,            0.025769,            0.019607,           0.0019424,            0.007657,            0.007657,            0.007657
                  73,            0.028685,            0.019801,           0.0024226,             0.93217,             0.95811,             0.97383,             0.60686,            0.024371,            0.021227,           0.0018499,            0.007624,            0.007624,            0.007624
                  74,            0.026641,            0.020362,           0.0021039,             0.95227,             0.96257,             0.98224,             0.64832,            0.024334,            0.018491,           0.0017127,            0.007591,            0.007591,            0.007591
                  75,            0.026482,            0.019829,           0.0017446,             0.95615,             0.96764,             0.98573,             0.65525,            0.024499,            0.018269,           0.0016463,            0.007558,            0.007558,            0.007558
                  76,            0.027771,            0.019475,           0.0017424,             0.90988,             0.95982,             0.98234,             0.63244,            0.025122,            0.018102,           0.0016705,            0.007525,            0.007525,            0.007525
                  77,             0.02773,            0.019437,           0.0019792,             0.86605,             0.95983,             0.97021,              0.5645,            0.026812,            0.018135,           0.0016747,            0.007492,            0.007492,            0.007492
                  78,            0.027587,            0.019536,           0.0018867,             0.93536,             0.96168,             0.97868,             0.62753,            0.024277,            0.018494,           0.0017161,            0.007459,            0.007459,            0.007459
                  79,            0.028333,            0.019542,            0.002175,             0.91579,             0.94656,              0.9662,             0.63097,            0.023674,            0.018402,           0.0018376,            0.007426,            0.007426,            0.007426
                  80,            0.026124,            0.019638,           0.0022551,             0.95254,             0.95355,             0.98341,             0.65504,            0.023286,            0.017879,           0.0016657,            0.007393,            0.007393,            0.007393
                  81,            0.026901,            0.019184,            0.001852,             0.93095,             0.95632,             0.98013,             0.63557,            0.024685,            0.018699,           0.0016198,             0.00736,             0.00736,             0.00736
                  82,            0.027576,            0.019101,           0.0018377,             0.92122,             0.93427,             0.96398,             0.61175,            0.025485,            0.018885,           0.0015684,            0.007327,            0.007327,            0.007327
                  83,            0.026457,            0.019274,           0.0018371,             0.90695,             0.94807,             0.97637,             0.70008,            0.022819,            0.017846,           0.0016015,            0.007294,            0.007294,            0.007294
                  84,            0.025824,            0.019264,           0.0017708,             0.95234,              0.9721,             0.98334,             0.66375,             0.02505,            0.018678,            0.001613,            0.007261,            0.007261,            0.007261
                  85,            0.026913,            0.018716,           0.0018088,             0.87685,             0.97349,             0.98483,             0.62023,            0.025367,            0.017238,           0.0016444,            0.007228,            0.007228,            0.007228
                  86,            0.026167,            0.018148,           0.0018756,             0.91154,             0.94012,             0.96812,             0.65061,            0.023196,            0.017681,           0.0017533,            0.007195,            0.007195,            0.007195
                  87,            0.024695,            0.018199,           0.0018174,             0.90938,             0.95114,             0.97546,             0.65875,            0.022419,            0.017515,           0.0016096,            0.007162,            0.007162,            0.007162
                  88,            0.025661,            0.018548,           0.0017286,             0.94792,             0.95608,             0.98222,             0.63067,            0.023472,            0.019146,           0.0016101,            0.007129,            0.007129,            0.007129
                  89,            0.026291,            0.018801,            0.001818,             0.87212,                0.95,             0.96842,             0.65321,            0.024468,            0.018776,           0.0016305,            0.007096,            0.007096,            0.007096
                  90,            0.026458,            0.018622,           0.0017819,             0.92307,             0.98585,             0.98126,             0.70342,            0.022041,            0.018415,           0.0017155,            0.007063,            0.007063,            0.007063
                  91,            0.025519,            0.018494,           0.0017758,             0.90797,             0.93669,             0.96837,             0.67527,            0.023359,            0.018064,           0.0016325,             0.00703,             0.00703,             0.00703
                  92,            0.026558,            0.018487,           0.0017056,             0.95028,             0.96863,             0.98149,             0.67402,            0.022953,            0.017452,             0.00156,            0.006997,            0.006997,            0.006997
                  93,             0.02508,             0.01753,           0.0018366,             0.87469,             0.96586,             0.96543,             0.69128,            0.022569,            0.017067,           0.0015498,            0.006964,            0.006964,            0.006964
                  94,            0.026813,            0.018578,           0.0018668,              0.9392,              0.9508,              0.9842,             0.69164,            0.024381,            0.018525,           0.0017085,            0.006931,            0.006931,            0.006931
                  95,            0.026772,            0.018292,           0.0019488,             0.94744,             0.97539,             0.98888,             0.69458,            0.022617,            0.017071,           0.0016907,            0.006898,            0.006898,            0.006898
                  96,            0.024749,            0.017811,           0.0020038,             0.95995,             0.97461,             0.98951,             0.69401,            0.021601,            0.016945,           0.0015721,            0.006865,            0.006865,            0.006865
                  97,            0.025012,            0.017821,           0.0017172,             0.93886,             0.97025,             0.98392,              0.7093,            0.023183,            0.016894,           0.0014013,            0.006832,            0.006832,            0.006832
                  98,            0.025758,            0.017747,           0.0015469,             0.94396,             0.97443,             0.98831,             0.71316,            0.021637,            0.017081,           0.0014477,            0.006799,            0.006799,            0.006799
                  99,            0.024412,            0.017661,           0.0015282,              0.9436,             0.96461,             0.98238,             0.65701,            0.022024,            0.016674,           0.0014354,            0.006766,            0.006766,            0.006766
                 100,            0.024701,            0.017432,           0.0015349,             0.95596,             0.97015,             0.98865,              0.7241,            0.023061,            0.017047,           0.0014353,            0.006733,            0.006733,            0.006733
                 101,            0.025639,            0.017969,           0.0017373,             0.92223,             0.97704,             0.98686,             0.71958,            0.021127,            0.016715,           0.0014357,              0.0067,              0.0067,              0.0067
                 102,            0.024024,            0.017588,           0.0016836,             0.92507,             0.98535,             0.98412,              0.7109,            0.021934,            0.016925,           0.0014169,            0.006667,            0.006667,            0.006667
                 103,            0.023309,            0.017392,           0.0018092,             0.94257,             0.98932,             0.98947,              0.7412,            0.020333,            0.015757,           0.0013337,            0.006634,            0.006634,            0.006634
                 104,            0.023706,            0.017071,           0.0016263,             0.96406,             0.95385,             0.98627,             0.72868,            0.021227,            0.017167,           0.0013281,            0.006601,            0.006601,            0.006601
                 105,            0.024487,            0.017454,            0.001515,             0.93652,             0.96458,             0.98144,             0.68756,            0.024387,            0.017513,           0.0013279,            0.006568,            0.006568,            0.006568
                 106,            0.023737,            0.017172,            0.001529,             0.94247,              0.9608,             0.98481,             0.69354,            0.022304,            0.017414,           0.0013299,            0.006535,            0.006535,            0.006535
                 107,            0.022557,            0.017314,           0.0016193,             0.94418,             0.95783,             0.98656,             0.71793,            0.020373,             0.01713,           0.0013417,            0.006502,            0.006502,            0.006502
                 108,            0.023618,            0.016744,           0.0014303,             0.95495,             0.97612,             0.98983,             0.60827,            0.025408,            0.017007,           0.0013146,            0.006469,            0.006469,            0.006469
