               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11891,            0.094268,            0.057682,          0.00033193,            0.019046,          0.00017888,          4.4465e-05,            0.093928,            0.057327,            0.049299,              0.0928,              0.0008,              0.0008
                   1,            0.098465,             0.07599,             0.04973,           0.0029918,             0.27613,            0.050336,            0.016166,            0.074128,            0.047437,            0.036329,            0.084692,           0.0016916,           0.0016916
                   2,            0.078908,            0.066369,            0.035539,             0.85784,            0.077535,            0.023291,           0.0061026,            0.067685,            0.052807,            0.025714,            0.076574,           0.0025743,           0.0025743
                   3,             0.07307,            0.059357,            0.026235,             0.88136,            0.087995,            0.070562,            0.019395,            0.074377,            0.041946,            0.019946,            0.068448,            0.003448,            0.003448
                   4,            0.068803,            0.054296,            0.020263,             0.61454,             0.29332,             0.18983,            0.057045,            0.065575,            0.039526,            0.014482,            0.060313,           0.0043129,           0.0043129
                   5,            0.067544,            0.055904,            0.016564,             0.68013,             0.34641,              0.2576,            0.088709,            0.057645,            0.039227,            0.011595,            0.052169,           0.0051688,           0.0051688
                   6,            0.064915,            0.048059,            0.014772,             0.50306,             0.39468,             0.28263,            0.095671,            0.051763,            0.035287,           0.0098273,            0.044016,           0.0060159,           0.0060159
                   7,            0.068976,             0.05188,             0.01231,             0.62068,             0.32944,             0.28719,             0.11902,            0.056385,            0.034371,            0.008159,            0.035854,            0.006854,            0.006854
                   8,            0.065204,            0.044247,            0.010996,             0.52279,             0.43236,             0.28147,            0.089222,            0.059468,            0.030696,           0.0070389,            0.027683,           0.0076832,           0.0076832
                   9,             0.06439,             0.04391,           0.0089704,             0.68998,             0.31046,             0.26394,            0.083089,             0.06379,            0.030023,           0.0055924,            0.019504,           0.0085035,           0.0085035
                  10,             0.06543,             0.04168,           0.0087993,             0.68376,             0.25251,             0.24439,            0.094204,            0.059851,            0.027996,           0.0047819,            0.011315,           0.0093149,           0.0093149
                  11,            0.064998,            0.036998,            0.007645,             0.70141,             0.33926,             0.29208,             0.10457,            0.061825,            0.028734,           0.0040617,           0.0094555,           0.0094555,           0.0094555
                  12,            0.060444,            0.036895,           0.0073407,             0.71728,             0.33516,             0.39812,              0.1503,            0.053887,             0.02928,           0.0039887,           0.0094555,           0.0094555,           0.0094555
                  13,            0.057003,            0.038914,           0.0066601,             0.57886,             0.66604,             0.58296,             0.21439,            0.050316,              0.0266,           0.0035847,            0.009406,            0.009406,            0.009406
                  14,            0.053631,            0.042008,           0.0060337,             0.56924,             0.63596,             0.58592,             0.24071,             0.04385,            0.026818,           0.0033892,           0.0093565,           0.0093565,           0.0093565
                  15,            0.048759,            0.038386,           0.0059687,             0.56226,             0.52699,             0.38238,             0.15038,            0.058696,            0.027773,           0.0030472,            0.009307,            0.009307,            0.009307
                  16,            0.050746,            0.039036,           0.0050896,             0.56128,             0.63247,             0.59989,             0.27073,            0.044775,            0.025669,           0.0029929,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047069,            0.037434,            0.004905,             0.77193,             0.56636,             0.68382,             0.27952,            0.041021,            0.025956,            0.002725,            0.009208,            0.009208,            0.009208
                  18,            0.044618,            0.036637,           0.0044889,             0.64758,             0.68627,             0.64796,             0.27432,            0.038291,            0.025087,           0.0027944,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043058,            0.037859,           0.0045801,             0.71276,             0.61012,             0.62495,             0.30742,            0.035269,             0.02438,           0.0024204,            0.009109,            0.009109,            0.009109
                  20,            0.043755,            0.035445,           0.0041795,             0.51308,             0.77355,             0.58008,             0.24939,            0.041332,            0.024104,           0.0023549,           0.0090595,           0.0090595,           0.0090595
                  21,            0.042487,            0.037202,           0.0038532,             0.62515,              0.7715,             0.64999,               0.313,             0.03431,            0.023973,           0.0024809,             0.00901,             0.00901,             0.00901
                  22,            0.042233,            0.037265,           0.0037477,             0.66134,             0.76248,             0.68534,             0.35012,            0.033894,            0.022613,           0.0024732,           0.0089605,           0.0089605,           0.0089605
                  23,             0.04047,            0.031927,           0.0040098,             0.70555,             0.74801,             0.69164,             0.40177,            0.032102,            0.022218,           0.0023939,            0.008911,            0.008911,            0.008911
